olt,onu_id,consumo_total,horas_activas,ratio_up_down,estado,es_revendedor
OLT VSOL FLOR A,GPON06ONU9,111.08,109,0.14021761445288441,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU30,110.26,89,0.18968493741907635,NORMAL,1
OLT VSOL FLOR A,GPON04ONU1,109.99000000000001,110,0.1396746451144959,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU45,109.77000000000001,91,0.2328167115902965,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU26,109.32,87,0.7558625120462577,NORMAL,1
OLT VSOL FLOR A,GPON04ONU22,109.16,78,0.21680972020956416,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU100,109.15,89,0.04230328495034377,NORMAL,1
OLT VSOL FLOR A,GPON03ONU87,109.07000000000001,105,0.5855502253234481,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU51,109.03,91,0.4229966066301226,NORMAL,1
OLT VSOL FLOR A,GPON03ONU58,109.02,111,0.2277027027027027,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU32,108.53999999999999,91,0.10800326663944468,NORMAL,1
OLT VSOL FLOR A,GPON03ONU41,108.52,111,0.06590708181907474,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU12,108.33000000000001,84,0.11507977354606277,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU85,107.85000000000001,91,0.08501006036217303,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU20,107.75999999999999,105,0.26538280883043686,NORMAL,1
OLT VSOL FLOR A,GPON05ONU64,107.35,111,0.1854019434628975,NORMAL,1
OLT VSOL FLOR A,GPON06ONU16,107.31,105,0.6059563005088298,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU27,107.28,91,0.1526807779091007,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU63,107.22,88,0.10070834616569141,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU3,107.21,91,0.25568048723354414,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU41,107.19,81,0.06816143497757848,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU15,107.14999999999999,91,0.22359255452780633,NORMAL,1
OLT VSOL FLOR A,GPON06ONU61,107.06,111,0.19220489977728286,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU25,107.05,89,0.07253782186153693,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU60,107.05,91,0.3211156361841293,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU13,106.99,109,0.16546840958605666,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU18,106.32,91,0.0995966490847037,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU49,106.22999999999999,90,0.18599977671095233,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU34,105.75999999999999,86,0.05887064477372848,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU26,105.73,84,0.23849127328101205,NORMAL,1
OLT VSOL FLOR A,GPON04ONU60,105.7,109,0.09397640240115918,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU43,105.65,91,0.27535007242877835,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU24,105.33000000000001,91,0.8645778013807753,CRITICO,-1
OLT VSOL FLOR A,GPON05ONU17,104.97999999999999,109,0.24694144197648177,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU121,104.88,91,0.28309273305603133,NORMAL,1
OLT VSOL FLOR A,GPON06ONU23,104.78999999999999,110,0.14125462862121543,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU3,104.75,108,0.07978558911452427,NORMAL,1
OLT VSOL FLOR A,GPON06ONU42,104.68,110,0.07917525773195876,NORMAL,1
OLT VSOL FLOR A,GPON03ONU48,104.53,96,0.6299703726804927,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU107,104.31,91,0.06471368786363173,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU79,104.3,81,0.20703622265941443,NORMAL,1
OLT VSOL FLOR A,GPON06ONU57,103.89,92,0.5582720863956802,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU72,103.62,91,0.05155266896691699,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU14,103.42,90,0.09346584901670543,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU52,103.17,91,0.20610240823006779,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU42,103.11999999999999,107,0.1926902613925515,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU26,102.89,91,0.17026842584167426,NORMAL,1
OLT VSOL FLOR A,GPON05ONU33,102.57,110,0.1623980054397099,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU12,102.33,91,0.270391061452514,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU71,101.83,86,0.14971209213051825,NORMAL,1
OLT VSOL FLOR A,GPON03ONU39,101.62,100,0.28324283369112263,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU65,101.55,91,0.1775278293135436,NORMAL,1
OLT VSOL CARAQUITA,GPON03ONU6,101.37,88,0.40967876512307055,NORMAL,1
OLT VSOL FLOR A,GPON05ONU32,101.23,110,0.2981533726596563,NORMAL,1
OLT VSOL FLOR A,GPON08ONU1,101.11000000000001,113,0.508879271750485,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU18,101.03,91,0.09363498592768998,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU17,101.0,91,0.0889487870619946,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU99,100.99,91,0.04414805624483043,NORMAL,1
OLT VSOL FLOR A,GPON04ONU23,100.78,108,0.04990103135743307,NORMAL,1
OLT VSOL FLOR A,GPON03ONU86,100.77000000000001,55,1.482631189948263,CRITICO,-1
OLT VSOL FLOR A,GPON05ONU87,100.77000000000001,70,0.4631915202555539,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU53,100.75999999999999,91,0.05122587376108503,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU54,100.71,110,0.08816855753646678,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU13,100.67,83,0.29279568511621934,NORMAL,1
OLT VSOL FLOR A,GPON08ONU3,100.57000000000001,103,0.27740378508827634,NORMAL,1
OLT VSOL FLOR A,GPON05ONU89,100.53,111,0.07346502936465563,NORMAL,1
OLT VSOL FLOR A,GPON04ONU72,100.00999999999999,111,0.08482481831001194,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU9,99.76,65,0.570528967254408,CRITICO,-1
OLT VSOL COLONIAS,GPON01ONU33,99.74000000000001,86,0.09688771582536017,NORMAL,1
OLT VSOL FLOR A,GPON06ONU32,99.11,84,0.48791472751839066,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU41,98.83,91,0.13597701149425287,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU117,98.69,91,0.045223469603897476,NORMAL,1
